YEAR,STATIONID,LON,LAT,LENGTH,AGE
1994,3082,-160.9,57.3,11,1
1994,3082,-160.9,57.3,39,3
1994,3082,-160.9,57.3,46,5
1994,3082,-160.9,57.3,49,5
1994,3088,-160.3,57.3,19,1
1994,3088,-160.3,57.3,24,1
1994,3088,-160.3,57.3,36,4
1994,3088,-160.3,57.3,53,4
1994,3094,-159.7,57.3,19,1
1994,3094,-159.7,57.3,30,2
1994,3094,-159.7,57.3,53,5
1994,3094,-159.7,57.3,59,6
1994,3100,-159.1,57.3,26,2
1994,3100,-159.1,57.3,26,2
1994,3100,-159.1,57.3,41,3
1994,3100,-159.1,57.3,69,6
1994,3107,-158.4,57.3,12,1
1994,3107,-158.4,57.3,34,2
1994,3107,-158.4,57.3,50,5
1994,3107,-158.4,57.3,50,5
1994,3128,-172.8,57.4,20,1
1994,3128,-172.8,57.4,26,1
1994,3128,-172.8,57.4,61,5
1994,3128,-172.8,57.4,64,5
1994,3147,-170.9,57.4,21,1
1994,3147,-170.9,57.4,22,1
1994,3147,-170.9,57.4,50,3
1994,3147,-170.9,57.4,64,5
1994,3235,-162.1,57.4,12,1
1994,3235,-162.1,57.4,16,1
1994,3235,-162.1,57.4,24,1
1994,3235,-162.1,57.4,24,1
1994,3466,-172.2,57.6,20,1
1994,3466,-172.2,57.6,38,3
1994,3466,-172.2,57.6,47,3
1994,3466,-172.2,57.6,76,5
1994,3573,-161.5,57.6,14,1
1994,3573,-161.5,57.6,22,1
1994,3573,-161.5,57.6,43,3
1994,3573,-161.5,57.6,55,5
1994,3621,-173.4,57.7,25,1
1994,3621,-173.4,57.7,28,1
1994,3621,-173.4,57.7,61,5
1994,3621,-173.4,57.7,69,6
1994,3627,-172.8,57.7,21,1
1994,3627,-172.8,57.7,23,1
1994,3627,-172.8,57.7,42,3
1994,3627,-172.8,57.7,58,5
1994,3640,-171.5,57.7,19,1
1994,3640,-171.5,57.7,23,1
1994,3640,-171.5,57.7,29,2
1994,3640,-171.5,57.7,30,1
1994,3646,-170.9,57.7,17,1
1994,3646,-170.9,57.7,17,1
1994,3646,-170.9,57.7,22,1
1994,3646,-170.9,57.7,57,5
1994,3652,-170.3,57.7,29,1
1994,3652,-170.3,57.7,64,6
1994,3652,-170.3,57.7,69,5
1994,3652,-170.3,57.7,70,7
1994,3658,-169.7,57.7,23,1
1994,3658,-169.7,57.7,25,1
1994,3658,-169.7,57.7,40,3
1994,3658,-169.7,57.7,43,3
1994,3665,-169,57.7,19,1
1994,3665,-169,57.7,20,1
1994,3665,-169,57.7,23,1
1994,3665,-169,57.7,27,1
1994,3671,-168.4,57.7,38,2
1994,3671,-168.4,57.7,39,3
1994,3671,-168.4,57.7,41,2
1994,3671,-168.4,57.7,71,6
1994,3678,-167.7,57.7,16,1
1994,3678,-167.7,57.7,21,1
